"Date","Price","Open","High","Low","Vol.","Change %"
"11/16/2000","1,138.30","1,137.35","1,140.10","1,135.75","","0.23%"
"11/15/2000","1,135.70","1,135.00","1,137.80","1,132.30","","-0.03%"
"11/14/2000","1,136.00","1,139.50","1,139.50","1,135.75","","-0.18%"
"11/13/2000","1,138.00","1,136.50","1,140.00","1,136.50","","0.35%"
"11/10/2000","1,134.00","1,131.00","1,135.85","1,130.85","","0.35%"
"11/09/2000","1,130.00","1,135.00","1,136.95","1,130.75","","-0.31%"
"11/08/2000","1,133.50","1,137.40","1,138.90","1,133.75","","-0.22%"
"11/07/2000","1,136.00","1,133.50","1,137.60","1,132.65","","0.35%"
"11/06/2000","1,132.00","1,134.50","1,134.80","1,130.00","","-0.11%"
"11/03/2000","1,133.30","1,135.40","1,135.50","1,131.25","","-0.04%"
"11/02/2000","1,133.80","1,136.80","1,137.00","1,132.80","","-0.13%"
"11/01/2000","1,135.30","1,137.50","1,137.65","1,134.55","","-0.06%"
"10/31/2000","1,136.00","1,141.00","1,142.50","1,137.00","","-0.09%"
"10/30/2000","1,137.00","1,135.50","1,139.00","1,133.25","","0.18%"
"10/27/2000","1,135.00","1,134.50","1,187.00","1,124.50","","0.27%"
"10/26/2000","1,132.00","1,138.50","1,141.55","1,134.85","","-0.44%"
"10/25/2000","1,137.00","1,136.50","1,141.50","1,135.15","","0.18%"
"10/24/2000","1,135.00","1,138.25","1,187.25","1,129.15","","-0.35%"
"10/23/2000","1,139.00","1,129.90","1,189.25","1,129.20","","0.71%"
"10/20/2000","1,131.00","1,129.50","1,180.00","1,126.15","","0.27%"
"10/19/2000","1,128.00","1,138.50","1,190.25","1,132.90","","-0.79%"
"10/18/2000","1,137.00","1,137.00","1,189.25","1,134.40","","0.35%"
"10/17/2000","1,133.00","1,128.50","1,183.15","1,124.95","","0.53%"
"10/16/2000","1,127.00","1,127.50","1,177.35","1,122.75","","-0.18%"
"10/13/2000","1,129.00","1,118.00","1,180.25","1,112.50","","0.80%"
"10/12/2000","1,120.00","1,118.50","1,173.50","1,116.20","","-0.09%"
"10/11/2000","1,121.00","1,121.00","1,173.00","1,112.20","","0.18%"
"10/10/2000","1,119.00","1,117.25","1,169.10","1,116.45","","0.27%"
"10/09/2000","1,116.00","1,116.50","1,167.10","1,111.05","","0.09%"
"10/06/2000","1,115.00","1,116.10","1,167.00","1,114.05","","-0.22%"
"10/05/2000","1,117.50","1,118.50","1,169.10","1,115.60","","-0.13%"
"10/04/2000","1,119.00","1,119.50","1,123.25","1,116.70","","0.18%"
"10/03/2000","1,117.00","1,117.70","1,119.25","1,117.50","","-0.08%"
"10/02/2000","1,117.90","1,113.90","1,167.00","1,110.60","","0.26%"
"09/29/2000","1,115.00","1,114.20","1,117.30","1,112.75","","-0.06%"
"09/28/2000","1,115.70","1,113.75","1,117.00","1,112.80","","0.15%"
"09/27/2000","1,114.00","1,118.80","1,165.80","1,112.70","","-0.45%"
"09/26/2000","1,119.00","1,124.00","1,126.50","1,116.95","","-0.44%"
"09/25/2000","1,124.00","1,132.50","1,132.50","1,117.00","","-0.79%"
"09/22/2000","1,133.00","1,128.50","1,135.75","1,128.50","","0.62%"
"09/21/2000","1,126.00","1,125.50","1,133.25","1,122.00","","0.00%"
"09/20/2000","1,126.00","1,126.50","1,128.00","1,118.35","","0.00%"
"09/19/2000","1,126.00","1,135.00","1,136.75","1,121.75","","0.09%"
"09/18/2000","1,125.00","1,120.45","1,138.45","1,118.45","","0.46%"
"09/15/2000","1,119.80","1,115.50","1,120.55","1,115.50","","0.42%"
"09/14/2000","1,115.10","1,110.00","1,122.55","1,107.50","","0.55%"
"09/13/2000","1,109.00","1,110.00","1,110.00","1,110.00","","0.00%"
"09/12/2000","1,109.00","1,109.25","1,109.25","1,109.25","","0.05%"
"09/11/2000","1,108.50","1,109.50","1,109.50","1,109.50","","0.00%"
"09/08/2000","1,108.50","1,110.50","1,111.70","1,107.40","","-0.14%"
"09/07/2000","1,110.00","1,107.35","1,110.75","1,107.25","","0.24%"
"09/06/2000","1,107.30","1,105.20","1,107.75","1,104.95","","0.19%"
"09/05/2000","1,105.20","1,104.30","1,105.65","1,104.30","","0.08%"
"09/04/2000","1,104.30","1,105.95","1,111.15","1,103.75","","-0.06%"
"09/01/2000","1,105.00","1,108.75","1,108.95","1,105.25","","-0.33%"
"08/31/2000","1,108.70","1,108.65","1,110.25","1,108.55","","0.02%"
"08/30/2000","1,108.50","1,110.25","1,110.30","1,108.10","","-0.14%"
"08/29/2000","1,110.10","1,111.50","1,112.30","1,110.10","","-0.08%"
"08/28/2000","1,111.00","1,114.00","1,114.10","1,111.45","","-0.27%"
"08/25/2000","1,114.00","1,114.05","1,114.55","1,113.75","","-0.01%"
"08/24/2000","1,114.10","1,114.60","1,114.70","1,113.90","","0.01%"
"08/23/2000","1,114.00","1,113.97","1,115.00","1,113.90","","0.01%"
"08/22/2000","1,113.90","1,114.25","1,114.85","1,113.65","","-0.04%"
"08/21/2000","1,114.40","1,114.90","1,114.95","1,114.20","","-0.05%"
"08/18/2000","1,115.00","1,114.60","1,115.45","1,114.10","","0.09%"
"08/17/2000","1,114.00","1,114.95","1,115.05","1,114.20","","-0.10%"
"08/16/2000","1,115.10","1,115.65","1,115.90","1,114.50","","-0.08%"
"08/15/2000","1,116.00","1,116.00","1,116.50","1,115.50","","0.00%"
"08/14/2000","1,116.00","1,115.35","1,116.50","1,114.15","","0.09%"
"08/11/2000","1,115.00","1,114.50","1,116.20","1,114.25","","0.05%"
"08/10/2000","1,114.40","1,114.95","1,115.00","1,113.60","","0.01%"
"08/09/2000","1,114.30","1,115.00","1,116.65","1,113.95","","-0.15%"
"08/08/2000","1,116.00","1,117.40","1,117.80","1,115.75","","-0.09%"
"08/07/2000","1,117.00","1,115.60","1,117.65","1,115.35","","0.18%"
"08/04/2000","1,115.00","1,114.70","1,116.20","1,114.20","","0.03%"
"08/03/2000","1,114.70","1,115.65","1,115.75","1,114.15","","-0.08%"
"08/02/2000","1,115.60","1,115.75","1,116.65","1,115.15","","-0.01%"
"08/01/2000","1,115.70","1,116.45","1,116.85","1,115.55","","-0.08%"
"07/31/2000","1,116.60","1,117.50","1,118.40","1,115.70","","0.01%"
"07/28/2000","1,116.50","1,114.25","1,119.05","1,113.95","","0.22%"
